feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
0.36,0.27,6.3,0.0279999999999999,40.0,132.0,0.99186,3.37,0.4,11.6,6.0,1.0,5.3
0.22,0.36,5.5,0.0289999999999999,30.0,105.0,0.99206,3.2,0.47,11.8,6.0,1.0,6.6
0.29,0.25,10.6,0.039,32.0,120.0,0.9962,3.31,0.34,10.1,6.0,1.0,6.5
0.39,0.3,9.9,0.037,29.0,124.0,0.99414,3.07,0.42,10.9,6.0,1.0,7.1
0.35,0.38,7.4,0.036,20.0,196.0,0.99712,3.47,0.48,9.1,6.0,1.0,6.5
0.2,0.25,4.5,0.044,31.0,109.0,0.9949,3.23,0.36,9.4,5.0,0.0,7.2
0.17,0.4,14.55,0.047,47.0,156.0,0.99945,3.34,0.78,9.1,6.0,1.0,7.1
0.32,0.36,4.6,0.042,56.0,178.0,0.9928,3.29,0.47,12.0,6.0,1.0,8.0
0.2,0.32,1.1,0.039,25.0,78.0,0.9926,3.39,0.54,10.2,7.0,1.0,6.6
0.28,0.17,8.3,0.042,61.0,195.0,0.99577,3.22,0.46,9.4,5.0,0.0,6.4
0.555,0.26,4.5,0.053,17.0,126.0,0.9943,3.24,0.46,9.1,5.0,0.0,6.0
0.33,0.2,1.8,0.031,49.0,159.0,0.9919,3.41,0.53,11.0,6.0,1.0,6.0
0.33,0.32,1.2,0.053,38.0,138.0,0.9906,3.13,0.28,11.2,6.0,1.0,7.0
0.35,0.24,2.3,0.034,25.0,133.0,0.9906,3.34,0.59,12.0,7.0,1.0,6.1
0.27,0.3,13.9,0.0289999999999999,34.0,131.0,0.9953,3.36,0.5,12.0,7.0,1.0,6.7
0.3,0.31,1.6,0.035,40.0,106.0,0.98914,3.26,0.39,12.9,7.0,1.0,6.2
0.16,0.34,6.1,0.034,31.0,114.0,0.99365,3.32,0.58,10.15,7.0,1.0,6.1
0.46,0.49,7.4,0.052,19.0,184.0,0.9956,3.11,0.38,9.0,5.0,0.0,6.6
0.48,0.33,7.0,0.024,14.0,130.0,0.9918,3.25,0.45,12.5,7.0,1.0,7.6
0.29,0.48,12.8,0.037,61.5,182.0,0.99808,3.02,0.34,8.8,5.0,0.0,7.4
0.21,0.31,6.0,0.046,29.0,108.0,0.9939,3.26,0.5,10.8,6.0,1.0,7.0
0.44,0.18,7.7,0.096,28.0,210.0,0.99771,3.56,0.72,9.2,5.0,0.0,6.2
0.18,0.37,1.6,0.055,47.0,154.0,0.9934,3.08,0.45,9.1,5.0,0.0,6.8
0.15,0.32,8.8,0.0579999999999999,24.0,110.0,0.9972,3.4,0.4,8.8,6.0,1.0,6.8
0.41,0.3,8.8,0.045,28.0,131.0,0.9953,3.12,0.59,9.9,5.0,0.0,6.8
0.21,0.37,1.2,0.0279999999999999,20.0,93.0,0.99244,3.2,0.37,11.5,5.0,0.0,8.9
0.26,0.24,7.2,0.039,38.0,172.0,0.9958,3.49,0.64,9.7,6.0,1.0,6.3
0.25,0.34,13.7,0.044,66.0,184.0,0.99976,3.22,0.75,8.9,5.0,0.0,7.8
0.17,0.36,8.2,0.0279999999999999,44.0,111.0,0.99272,3.14,0.41,12.4,6.0,1.0,7.3
0.21,0.28,2.4,0.0559999999999999,49.0,159.0,0.9944,3.02,0.47,8.8,8.0,1.0,6.9
0.2,0.29,1.7,0.047,16.0,100.0,0.99243,3.28,0.45,10.6,6.0,1.0,7.4
0.32,0.34,5.7,0.044,27.0,91.0,0.99184,3.28,0.6,12.0,7.0,1.0,6.5
0.16,0.36,1.1,0.031,27.0,93.0,0.98884,3.23,0.34,13.2,8.0,1.0,6.6
0.23,0.25,1.4,0.049,43.0,141.0,0.9934,3.42,0.54,10.2,7.0,1.0,7.4
0.4,0.26,9.5,0.059,32.0,178.0,0.9955,3.04,0.43,10.9,6.0,1.0,7.8
0.4,0.38,2.2,0.03,40.0,109.0,0.99075,3.27,0.46,12.6,6.0,1.0,7.2
0.23,0.39,1.6,0.032,12.0,65.0,0.9898,3.25,0.4,12.7,7.0,1.0,7.1
0.31,0.73,14.35,0.044,27.0,191.0,1.00013,2.96,0.88,8.7,5.0,0.0,8.7
0.29,0.44,3.6,0.2,75.0,181.0,0.9942,3.02,0.41,9.1,5.0,0.0,6.4
0.17,0.27,1.5,0.037,20.0,98.0,0.9916,3.46,0.42,11.0,7.0,1.0,6.4
0.25,0.39,1.3,0.051,42.0,135.0,0.9906,3.23,0.4,11.1,6.0,1.0,6.2
0.41,0.23,14.8,0.054,28.0,174.0,0.99898,3.18,0.49,9.7,5.0,0.0,7.5
0.14,0.45,1.5,0.039,18.0,98.0,0.99215,3.02,0.56,11.0,6.0,1.0,8.3
0.3,0.3,2.0,0.03,38.0,142.0,0.98892,3.41,0.41,12.9,7.0,1.0,5.9
0.25,0.22,3.3,0.048,41.0,161.0,0.99256,3.16,0.5,10.5,6.0,1.0,6.3
0.64,0.46,10.6,0.244,33.0,227.0,0.9983,2.87,0.74,9.1,3.0,0.0,7.9
0.18,0.36,2.4,0.049,38.0,123.0,0.996,3.6,0.46,10.3,5.0,0.0,7.6
0.47,0.29,14.8,0.024,22.0,142.0,0.99518,3.12,0.48,12.0,8.0,1.0,7.1
0.18,0.22,4.2,0.042,25.0,111.0,0.994,3.35,0.39,9.4,5.0,0.0,5.7
0.17,0.36,1.8,0.0289999999999999,93.0,161.0,0.98999,3.65,0.89,12.0,7.0,1.0,4.2
0.23,0.24,0.9,0.031,29.0,86.0,0.98926,2.9,0.38,12.2,6.0,1.0,7.3
0.22,0.39,2.1,0.055,39.0,198.0,0.9951,3.52,0.54,10.2,6.0,1.0,7.0
0.14,0.35,1.4,0.039,24.0,128.0,0.99212,2.97,0.68,10.4,5.0,0.0,7.1
0.17,0.46,0.9,0.036,63.0,147.0,0.99126,3.02,0.41,10.7,6.0,1.0,7.6
0.27,0.16,9.0,0.053,32.0,111.0,0.99474,3.36,0.37,10.4,6.0,1.0,5.7
0.14,0.38,1.0,0.0409999999999999,22.0,81.0,0.99043,3.03,0.54,11.4,6.0,1.0,6.9
0.55,0.3,8.1,0.026,14.0,71.0,0.993,2.94,0.36,11.8,5.0,0.0,9.0
0.37,0.22,8.3,0.025,36.0,216.0,0.9964,3.33,0.6,9.6,6.0,1.0,6.2
0.46,0.31,1.7,0.052,50.0,183.0,0.9923,3.03,0.42,11.2,5.0,0.0,8.1
0.27,0.25,1.8,0.0409999999999999,9.0,109.0,0.9929,3.08,0.54,9.0,5.0,0.0,6.1
0.29,0.29,4.4,0.051,26.0,146.0,0.9939,3.16,0.39,10.2,5.0,0.0,7.6
0.4,0.26,5.45,0.016,26.0,90.0,0.98951,2.84,0.54,13.2,7.0,1.0,7.3
0.3,0.36,4.5,0.054,31.0,203.0,0.99513,3.4,0.57,10.4,4.0,0.0,6.9
0.32,0.17,7.6,0.042,69.0,219.0,0.9959,3.13,0.4,8.9,5.0,0.0,6.9
0.245,0.33,1.1,0.049,28.0,150.0,0.9927,3.13,0.42,9.3,5.0,0.0,5.7
0.35,0.17,1.1,0.049,7.0,119.0,0.99297,3.13,0.36,9.7,6.0,1.0,7.0
0.27,0.47,1.2,0.146,28.0,105.0,0.99224,3.23,0.51,10.1,5.0,0.0,6.2
0.23,0.24,3.9,0.045,36.0,138.0,0.9922,3.15,0.64,11.3,7.0,1.0,6.6
0.54,0.0,1.4,0.033,40.0,107.0,0.98918,3.26,0.35,12.4,5.0,0.0,5.8
0.17,0.41,1.6,0.052,24.0,126.0,0.99228,3.19,0.49,10.8,5.0,0.0,7.2
0.3,0.28,2.2,0.042,21.0,177.0,0.99166,3.2,0.57,11.4,5.0,0.0,7.0
0.28,0.34,8.9,0.048,32.0,111.0,0.99455,3.25,0.54,11.0,7.0,1.0,6.7
0.3,0.49,7.2,0.039,32.0,84.0,0.9938,2.94,0.32,11.5,6.0,1.0,9.0
0.24,0.3,1.4,0.0409999999999999,15.0,102.0,0.9929,3.26,0.53,10.4,6.0,1.0,7.7
0.36,0.47,1.4,0.145,26.0,124.0,0.99274,3.09,0.56,10.1,6.0,1.0,6.6
0.25,0.23,1.4,0.047,20.0,77.0,0.99001,3.32,0.62,11.4,5.0,0.0,5.2
0.21,0.35,5.7,0.043,47.0,197.0,0.99392,3.24,0.5,10.1,6.0,1.0,6.5
0.37,0.25,2.5,0.0279999999999999,24.0,84.0,0.9909,3.14,0.36,11.7,6.0,1.0,6.7
0.32,0.13,7.8,0.042,11.0,117.0,0.996,3.23,0.37,9.2,5.0,0.0,6.9
0.34,0.33,9.7,0.036,46.0,172.0,0.9966,3.08,0.4,10.2,5.0,0.0,8.8
0.26,0.2,8.0,0.047,35.0,111.0,0.99445,3.11,0.42,10.4,6.0,1.0,6.2
0.19,0.43,10.9,0.045,53.0,154.0,0.99752,3.52,0.77,10.4,6.0,1.0,6.6
0.24,0.3,2.5,0.042,31.0,104.0,0.9911,3.05,0.56,11.3,7.0,1.0,7.3
0.395,0.07,1.3,0.035,26.0,102.0,0.992,3.5,0.35,10.6,6.0,1.0,5.3
0.27,0.39,7.8,0.039,49.0,208.0,0.9976,3.31,0.51,9.5,6.0,1.0,8.2
0.34,0.4,8.1,0.046,68.0,170.0,0.99494,3.15,0.5,9.55,6.0,1.0,6.6
0.34,0.31,12.0,0.053,46.0,238.0,0.9977,3.16,0.48,8.6,5.0,0.0,6.1
0.27,0.31,5.3,0.1369999999999999,35.0,163.0,0.9951,3.2,0.38,9.3,5.0,0.0,6.6
0.35,0.28,1.1,0.055,9.0,160.0,0.99405,3.42,0.5,9.1,7.0,1.0,6.4
0.21,0.37,7.0,0.038,27.0,107.0,0.99206,2.98,0.82,11.5,6.0,1.0,6.8
0.22,0.19,4.5,0.096,16.0,115.0,0.9937,3.02,0.44,9.6,5.0,0.0,6.5
0.29,0.49,1.0,0.044,29.0,118.0,0.9928,3.24,0.36,10.9,4.0,0.0,8.2
0.32,0.31,2.7,0.049,25.0,153.0,0.99067,3.44,0.73,12.2,7.0,1.0,5.8
0.145,0.29,1.0,0.042,35.0,90.0,0.9908,3.76,0.49,11.3,6.0,1.0,4.7
0.3,0.45,8.0,0.038,54.0,200.0,0.9956,3.18,0.48,9.5,5.0,0.0,6.6
0.32,0.32,4.8,0.0409999999999999,40.0,186.0,0.99235,3.22,0.54,11.0,6.0,1.0,6.0
0.26,0.34,14.4,0.067,35.0,189.0,0.9986,3.07,0.53,9.1,7.0,1.0,7.1
0.28,0.39,1.2,0.038,21.0,115.0,0.994,3.16,0.67,10.0,6.0,1.0,7.6
0.21,0.36,0.8,0.034,48.0,113.0,0.99165,3.24,0.68,10.5,6.0,1.0,6.6
0.38,0.2,6.6,0.033,25.0,137.0,0.9938,3.3,0.69,10.4,6.0,1.0,6.1
0.26,0.3,7.9,0.049,38.0,157.0,0.9963,3.13,0.48,8.9,6.0,1.0,7.4
0.17,0.3,7.3,0.039,39.0,104.0,0.99252,2.91,0.57,11.0,6.0,1.0,6.0
0.32,0.34,6.6,0.032,24.0,112.0,0.99505,3.22,0.46,9.8,6.0,1.0,7.3
0.18,0.3,1.2,0.046,49.0,199.0,0.99413,3.03,0.38,9.3,5.0,0.0,7.7
0.3,0.32,1.7,0.032,30.0,130.0,0.9911,3.28,0.41,11.2,7.0,1.0,6.2
0.2,0.24,9.2,0.044,25.0,150.0,0.99502,3.22,0.44,10.5,5.0,0.0,6.5
0.18,0.31,6.5,0.0289999999999999,53.0,160.0,0.99276,3.03,0.38,10.9,6.0,1.0,7.5
0.27,0.46,18.75,0.052,45.0,255.0,1.0,3.04,0.52,8.9,5.0,0.0,7.2
0.18,0.32,7.2,0.047,17.0,109.0,0.99498,3.42,0.44,10.4,6.0,1.0,6.8
0.17,0.31,4.8,0.034,34.0,132.0,0.9944,3.36,0.48,9.6,7.0,1.0,7.0
0.22,0.29,0.9,0.034,34.0,89.0,0.98936,3.14,0.36,11.1,7.0,1.0,5.8
0.31,0.27,2.3,0.042,19.0,120.0,0.98952,3.32,0.41,12.7,7.0,1.0,6.0
0.25,0.33,2.5,0.053,12.0,72.0,0.99404,2.89,0.48,9.5,5.0,0.0,8.3
0.4,0.31,0.9,0.048,23.0,170.0,0.993,3.22,0.77,9.5,6.0,1.0,6.1
0.24,0.3,17.45,0.0559999999999999,43.0,184.0,0.9997,3.05,0.5,9.2,6.0,1.0,8.0
0.18,0.48,18.0,0.054,56.0,183.0,1.0003799999999998,2.98,0.61,8.5,6.0,1.0,6.4
0.25,0.24,13.3,0.044,41.0,137.0,0.9972,3.34,0.42,9.5,5.0,0.0,5.8
0.24,0.33,15.75,0.035,16.0,132.0,0.996,3.0,0.37,12.1,6.0,1.0,8.9
0.2,0.49,8.1,0.051,51.0,205.0,0.9954,3.1,0.52,11.0,6.0,1.0,8.1
0.15,0.68,1.6,0.046,22.0,130.0,0.9948,3.02,0.45,10.4,6.0,1.0,9.2
0.2,0.31,3.6,0.036,22.0,91.0,0.99278,3.41,0.5,9.8,6.0,1.0,5.3
0.34,0.32,3.8,0.044,13.0,116.0,0.99108,3.39,0.44,11.8,7.0,1.0,6.0
0.14,0.41,0.9,0.037,22.0,95.0,0.9914,3.25,0.43,10.9,6.0,1.0,7.0
0.285,0.49,11.4,0.035,57.0,137.0,0.99732,3.08,0.54,8.9,6.0,1.0,6.6
0.17,0.38,7.4,0.052,49.0,182.0,0.9958,3.35,0.52,9.6,6.0,1.0,7.1
0.26,0.44,7.1,0.027,25.0,126.0,0.993,3.02,0.34,11.1,8.0,1.0,7.2
0.44,0.13,7.0,0.025,28.0,173.0,0.9913,3.33,0.48,12.5,6.0,1.0,5.7
0.31,0.4,1.6,0.027,20.0,87.0,0.9911,3.15,0.48,11.9,6.0,1.0,7.8
0.33,0.16,1.5,0.049,10.0,97.0,0.9917,3.48,0.44,10.7,6.0,1.0,5.0
0.28,0.38,2.0,0.052,23.0,156.0,0.9912,3.13,0.52,11.1,5.0,0.0,7.2
0.28,0.35,1.9,0.037,16.0,120.0,0.9933,3.16,0.69,10.6,5.0,0.0,6.0
0.28,0.34,13.8,0.0409999999999999,32.0,161.0,0.9981,3.13,0.4,9.9,6.0,1.0,8.5
0.27,0.27,1.7,0.034,25.0,122.0,0.99088,2.97,0.51,11.9,6.0,1.0,7.9
0.26,0.3,7.8,0.049,39.0,152.0,0.9954,2.99,0.58,10.0,6.0,1.0,8.1
0.25,0.26,13.1,0.051,44.0,148.0,0.9972,3.29,0.38,9.3,5.0,0.0,5.8
0.31,0.27,5.8,0.036,23.0,109.0,0.99399,3.34,0.54,11.0,6.0,1.0,7.6
0.15,0.29,2.3,0.033,14.0,82.0,0.99132,3.1,0.58,11.2,7.0,1.0,6.9
0.57,0.44,10.7,0.051,46.0,195.0,0.9981,3.15,0.51,10.4,5.0,0.0,8.4
0.44,0.28,3.4,0.048,22.0,112.0,0.99188,3.21,0.37,11.3,7.0,1.0,7.2
0.13,0.42,1.1,0.043,63.0,146.0,0.99066,3.13,0.72,11.2,7.0,1.0,6.3
0.39,0.22,4.3,0.03,10.0,102.0,0.993,3.0,0.87,11.6,4.0,0.0,6.9
0.17,0.74,12.8,0.045,24.0,126.0,0.9942,3.26,0.38,12.2,8.0,1.0,7.0
0.33,0.22,1.6,0.027,18.0,89.0,0.9893,3.51,0.38,12.5,7.0,1.0,5.1
0.29,0.37,8.3,0.044,45.0,227.0,0.9966,3.12,0.47,9.0,5.0,0.0,7.3
0.2,0.4,1.3,0.047,23.0,92.0,0.99232,3.2,0.45,10.0,6.0,1.0,5.9
0.21,0.34,1.5,0.035,45.0,123.0,0.98949,3.24,0.36,12.6,7.0,1.0,6.7
0.27,0.4,14.0,0.05,64.0,227.0,0.9979,3.18,0.58,9.6,6.0,1.0,6.9
0.23,0.41,14.6,0.048,73.0,223.0,0.99863,3.16,0.71,9.4,6.0,1.0,7.3
0.21,0.4,1.2,0.039,38.0,107.0,0.992,3.21,0.54,10.8,6.0,1.0,7.9
0.29,0.34,12.1,0.03,34.0,177.0,0.99706,3.13,0.47,10.6,5.0,0.0,9.0
0.22,0.37,15.0,0.053,59.0,178.0,0.9992,3.37,0.82,9.5,7.0,1.0,6.9
0.24,0.41,2.9,0.039,48.0,122.0,0.99052,3.25,0.43,12.0,5.0,0.0,6.7
0.28,0.27,17.5,0.045,48.0,253.0,1.00014,3.02,0.56,9.1,6.0,1.0,8.3
0.33,0.31,4.2,0.04,21.0,93.0,0.9896,3.18,0.48,13.4,7.0,1.0,6.9
0.14,0.59,1.5,0.049,23.0,142.0,0.9958,2.98,0.62,9.5,5.0,0.0,9.7
0.45,0.4,1.5,0.067,17.0,100.0,0.9957,3.27,0.57,10.1,6.0,1.0,8.7
0.27,0.3,14.7,0.044,15.0,144.0,0.99666,3.12,0.53,10.3,6.0,1.0,6.0
0.36,0.62,7.1,0.033,48.0,185.0,0.99472,3.14,0.62,10.6,6.0,1.0,7.3
0.32,0.46,1.5,0.05,56.0,189.0,0.99308,3.24,0.49,9.6,5.0,0.0,6.0
0.24,0.26,1.7,0.0409999999999999,31.0,110.0,0.99142,3.2,0.53,11.0,6.0,1.0,7.0
0.31,0.53,8.8,0.057,36.0,221.0,0.99642,3.17,0.44,9.1,5.0,0.0,6.4
0.26,0.42,1.7,0.049,41.0,122.0,0.993,3.47,0.48,10.5,8.0,1.0,6.8
0.21,0.35,1.2,0.0409999999999999,7.0,106.0,0.9914,3.06,0.45,11.3,4.0,0.0,7.6
0.25,0.37,2.6,0.05,24.0,132.0,0.99138,3.04,0.53,11.2,6.0,1.0,7.4
0.26,0.24,9.2,0.044,55.0,152.0,0.9961,3.31,0.38,9.4,5.0,0.0,5.8
0.76,0.03,2.7,0.043,27.0,93.0,0.9932,3.34,0.38,9.2,5.0,0.0,5.3
0.27,0.69,1.2,0.176,36.0,106.0,0.99288,2.96,0.43,9.2,6.0,1.0,6.7
0.17,0.23,1.7,0.0289999999999999,39.0,128.0,0.99272,3.37,0.41,10.7,7.0,1.0,7.8
0.15,0.35,4.3,0.051,23.0,98.0,0.99422,3.1,0.44,9.5,6.0,1.0,7.6
0.36,0.31,13.55,0.053,20.0,113.0,0.99544,3.2,0.56,11.0,6.0,1.0,6.5
0.26,0.3,2.1,0.033,50.0,158.0,0.9909,3.33,0.43,12.1,7.0,1.0,7.2
0.34,0.43,1.6,0.0409999999999999,29.0,114.0,0.99014,3.23,0.44,12.6,6.0,1.0,6.7
0.34,0.74,2.8,0.088,23.0,185.0,0.9928,3.51,0.7,12.0,6.0,1.0,6.8
0.24,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6,5.0,0.0,7.3
0.4,0.56,11.2,0.043,40.0,142.0,0.9975,3.14,0.46,8.7,5.0,0.0,6.9
0.56,0.16,3.1,0.045,28.0,92.0,0.994,3.12,0.35,9.1,6.0,1.0,6.6
0.21,0.31,1.7,0.048,17.0,61.0,0.98953,3.24,0.37,12.0,7.0,1.0,5.2
0.23,0.4,9.9,0.036,24.0,88.0,0.9951,3.02,0.42,10.5,6.0,1.0,8.5
0.21,0.55,14.6,0.053,34.0,159.0,0.99805,2.93,0.44,9.2,5.0,0.0,6.8
0.26,0.56,15.4,0.053,32.0,141.0,0.9981,3.11,0.49,9.3,5.0,0.0,6.6
0.32,0.33,10.4,0.031,47.0,194.0,0.99692,3.07,0.58,9.6,6.0,1.0,7.8
0.3,0.09,6.3,0.042,36.0,138.0,0.99382,3.15,0.48,9.7,5.0,0.0,5.8
0.29,0.46,1.45,0.039,77.5,223.0,0.9944,2.92,0.46,9.5,6.0,1.0,9.6
0.275,0.3,5.4,0.043,41.0,149.0,0.9926,3.33,0.42,10.8,7.0,1.0,5.8
0.35,0.29,7.3,0.044,56.0,244.0,0.9956,3.36,0.55,10.0,6.0,1.0,6.2
0.32,0.5,2.6,0.049,17.0,155.0,0.9927,3.22,0.64,10.0,6.0,1.0,5.7
0.33,0.36,2.6,0.051,26.0,126.0,0.99097,3.32,0.53,12.7,6.0,1.0,7.5
0.705,0.1,13.0,0.044,44.0,214.0,0.99741,3.1,0.5,9.1,5.0,0.0,7.5
0.21,0.37,1.6,0.049,23.0,94.0,0.9924,3.16,0.48,10.9,7.0,1.0,7.2
0.17,0.45,11.2,0.054,56.0,137.0,0.997,3.15,0.47,10.0,5.0,0.0,7.6
0.39,0.26,9.9,0.059,33.0,181.0,0.9955,3.04,0.42,10.9,6.0,1.0,7.8
0.3,0.56,2.7,0.046,46.0,184.0,0.9924,3.31,0.57,10.9,6.0,1.0,6.1
0.39,0.28,4.9,0.035,36.0,109.0,0.9918,3.19,0.58,12.2,7.0,1.0,7.7
0.26,0.34,6.4,0.05,36.0,163.0,0.9937,3.19,0.7,11.5,6.0,1.0,7.7
0.26,0.24,7.0,0.023,19.0,130.0,0.99176,3.14,0.49,12.8,7.0,1.0,7.2
0.34,0.86,1.4,0.174,36.0,99.0,0.99288,2.92,0.5,9.3,5.0,0.0,7.1
0.36,0.28,6.1,0.0289999999999999,12.0,93.0,0.99054,3.19,0.27,12.8,7.0,1.0,6.6
0.25,0.43,4.5,0.062,20.0,115.0,0.9966,3.38,0.5,9.9,6.0,1.0,7.7
0.38,0.15,4.6,0.044,25.0,78.0,0.9931,3.11,0.38,10.2,6.0,1.0,6.6
0.22,0.3,1.3,0.038,45.0,122.0,0.99178,3.13,0.54,10.8,7.0,1.0,8.4
0.3,0.22,5.25,0.053,33.0,180.0,0.9926,3.13,0.45,11.6,6.0,1.0,7.4
0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,5.0,0.0,7.1
